City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,horta,38.5333,-28.6333,289.95,86,40,5.66,PT,1705165115
117,flekkefjord,58.2971,6.6607,276.45,78,71,9.29,NO,1705165115
118,kyshtovka,56.555,76.6271,265.56,92,100,6.26,RU,1705165115
119,sao felix do xingu,-6.6447,-51.995,301.01,81,89,1.44,BR,1705164954
120,banda aceh,5.5577,95.3222,299.38,81,95,5.17,ID,1705165115
121,ghanzi,-21.5667,21.7833,301.04,46,84,4.64,BW,1705165116
122,madaoua,14.073,5.96,301.58,9,16,4.36,NE,1705165116
123,queenstown,-31.8976,26.8753,294.45,81,69,5.72,ZA,1705165116
124,linxia chengguanzhen,35.6003,103.2064,271.13,38,2,0.78,CN,1705165116
125,nova sintra,14.8667,-24.7167,294.37,68,95,8.3,CV,1705165116
126,sinabang,2.4803,96.3801,300.22,81,100,1.65,ID,1705165117
127,ancud,-41.8697,-73.8203,287.58,68,45,4.69,CL,1705165117
128,maxcanu,20.5833,-89.9833,302.28,57,65,1.99,MX,1705165117
129,bathurst,-33.4166,149.5806,291.46,86,92,3.23,AU,1705165117
130,kenora,49.8167,-94.4337,249.69,77,100,3.6,CA,1705165118
131,kununurra,-15.7667,128.7333,300.14,94,100,1.03,AU,1705165118
132,kotabumi,-4.8333,104.9,297.5,91,94,1.67,ID,1705165118
133,yellowknife,62.456,-114.3525,234.57,82,0,4.12,CA,1705165118
134,crucecita,-28.95,-58.9833,303.38,60,0,3.37,AR,1705165118
135,mugia,43.1041,-9.2179,286.99,90,100,10.6,ES,1705165119
136,tolanaro,-25.0319,46.9987,300.19,74,20,9.26,MG,1705165119
137,santiago de cao,-7.9589,-79.2392,297.22,78,20,5.14,PE,1705165119
138,dalandzadgad,43.5708,104.425,261.3,68,3,3.16,MN,1705165119
139,playa del ingles,27.7567,-15.5787,299.01,38,99,0.45,ES,1705164970
140,zanjan,36.6736,48.4787,276.37,80,96,9.9,IR,1705165120
141,kem',64.9555,34.5793,262.75,93,100,5.0,RU,1705165121
142,stanley,54.868,-1.6985,276.92,89,20,3.6,GB,1705165121
143,katabu,-4.9333,122.5167,298.25,91,100,1.25,ID,1705165121
144,nanyang,32.9947,112.5328,283.84,72,0,1.18,CN,1705165122
145,lihue,21.9789,-159.3672,291.13,63,40,3.6,US,1705165122
146,palangkaraya,-2.2,113.8333,297.07,97,100,1.21,ID,1705165122
147,malvan,16.0667,73.4667,298.86,72,2,3.24,IN,1705165122
148,thonon-les-bains,46.25,6.5,268.46,91,16,2.26,FR,1705165123
149,belgrade,44.804,20.4651,271.96,79,0,2.57,RS,1705165123
150,bima,-8.4667,118.7167,299.23,84,99,0.92,ID,1705165123
151,port saint john's,-31.6229,29.5448,296.8,93,99,2.31,ZA,1705165123
152,walvis bay,-22.9575,14.5053,292.09,78,76,6.97,NA,1705165124
153,labytnangi,66.6572,66.4183,243.5,100,100,0.32,RU,1705165124
154,lazaro cardenas,17.9583,-102.2,299.6,64,95,1.18,MX,1705165065
155,nar'yan-mar,67.6713,53.087,257.1,95,100,4.02,RU,1705165125
156,las toscas,-28.3529,-59.258,305.73,49,0,3.19,AR,1705165125
157,keflavik,64.0049,-22.5624,276.39,100,75,0.51,IS,1705165125
158,south hedland,-20.4089,118.5983,302.11,84,5,7.2,AU,1705165125
159,ceelbuur,4.685,46.6176,301.0,59,21,7.98,SO,1705165125
160,molde,62.7375,7.1591,276.36,93,100,7.2,NO,1705165126
161,mkushi,-13.6202,29.3939,291.47,99,100,0.59,ZM,1705165126
162,mao,39.8885,4.2658,286.46,71,75,5.14,ES,1705165126
163,san martin,-33.081,-68.4681,300.45,37,42,3.34,AR,1705165126
164,gagliano del capo,39.8442,18.3695,281.51,66,8,3.6,IT,1705165126
165,mili,6.0815,171.735,300.78,74,100,9.99,MH,1705165126
166,nishinoomote,30.7333,131.0,286.98,56,0,2.29,JP,1705165126
167,hamilton,39.1834,-84.5333,268.7,76,100,6.69,US,1705164971
168,vilyuchinsk,52.9306,158.4028,263.11,87,100,3.3,RU,1705165127
169,holualoa,19.6228,-155.9522,293.06,73,100,2.57,US,1705165127
170,zaozersk,69.4005,32.4476,264.51,94,100,3.83,RU,1705165127
171,sayaxche,16.5167,-90.1667,299.4,67,69,2.05,GT,1705165127
172,balabac,7.9868,117.0645,300.69,82,39,8.48,PH,1705165128
173,san-pedro,4.7485,-6.6363,302.1,69,25,3.96,CI,1705165128
174,launceston,-41.45,147.1667,286.93,66,100,6.17,AU,1705164853
175,hadibu,12.65,54.0333,298.4,83,73,3.22,YE,1705165128
176,san patricio,28.017,-97.5169,293.07,42,1,4.43,US,1705165128
177,karratha,-20.7377,116.8463,302.12,55,19,8.55,AU,1705165128
